company_name,part_no,quantity,batch_no,vendor_code,delivery_date,priority,notes,upload_file_1,upload_file_2,upload_file_3
Company A,ENG-001,100,BATCH-UP-001,VND-A-001,2026-06-10,normal,Engine batch with 2 invoices,C:\xampp\htdocs\mini-automation\samples\sample-files\invoice_001.pdf,C:\xampp\htdocs\mini-automation\samples\sample-files\invoice_002.pdf,
Company A,TRN-002,250,BATCH-UP-002,VND-A-002,2026-06-15,urgent,Transmission urgent — 3 docs,C:\xampp\htdocs\mini-automation\samples\sample-files\invoice_001.pdf,C:\xampp\htdocs\mini-automation\samples\sample-files\invoice_003.pdf,C:\xampp\htdocs\mini-automation\samples\sample-files\invoice_004.pdf
Company A,BRK-003,50,BATCH-UP-003,VND-A-003,2026-06-20,normal,Brake parts — 1 invoice,C:\xampp\htdocs\mini-automation\samples\sample-files\invoice_005.pdf,,
Company A,ALT-006,75,BATCH-UP-004,VND-A-001,2026-06-25,normal,Alternator — no uploads,,,
Company A,AIR-010,500,BATCH-UP-005,VND-A-002,,normal,Air filter bulk order — no uploads,,,
Company B,GER-041,75,B-UP-001,VND-A-001,,normal,Company B MECH gear — no uploads,,,
Company B,ENG-001,200,B-UP-002,VND-A-002,2026-07-05,urgent,Company B engine urgent — no uploads,,,
Company B,BRK-003,120,B-UP-003,VND-A-003,2026-07-10,normal,Company B brake — no uploads,,,
Company C,GER-041,150,CBATCH-UP-001,VEND-C-01,2026-07-15,normal,MECH category gear — no uploads,,,
Company C,ENG-001,80,CBATCH-UP-002,VEND-C-02,2026-07-20,urgent,AUTO category engine — no uploads,,,
