company_name,part_no,quantity,batch_no,vendor_code,delivery_date,priority,notes,upload_file_1,upload_file_2,upload_file_3
Company A,ENG-001,100,BA-2026-001,VND-A-001,2026-06-01,normal,Company A — Engine Block standard batch,,,
Company A,TRN-002,250,BA-2026-002,VND-A-002,2026-06-05,urgent,Company A — Transmission Case urgent order,invoice_001.pdf,,
Company A,BRK-003,50,BA-2026-003,VND-A-003,2026-06-10,normal,Company A — Brake Caliper with 2 docs,invoice_001.pdf,invoice_002.pdf,
Company A,AIR-010,500,BA-2026-004,VND-A-001,,normal,Company A — Air Filter bulk no delivery date,,,
Company B,ENG-001,200,BB-2026-001,VND-B-001,2026-06-15,urgent,Company B — Engine Block via modal portal,,,
Company B,CAM-012,80,BB-2026-002,VND-B-002,2026-06-20,normal,Company B — Camshaft order with doc,invoice_001.pdf,,
Company B,TIM-015,150,BB-2026-003,VND-B-003,2026-06-25,express,Company B — Timing Belt express order,,,
Company C,GER-041,75,BC-2026-001,VND-C-001,2026-07-01,normal,Company C — MECH category Gear Set,,,
Company C,ECU-020,60,BC-2026-002,VND-C-003,2026-07-05,urgent,Company C — ELEC category ECU urgent,,,
Company C,PMP-030,45,BC-2026-003,VND-C-001,2026-07-10,normal,Company C — HYDR category Pump with doc,invoice_001.pdf,,
